Director,Index
Daniel Gordon,3812
Daniel Gray Longino,1987
Daniel Gray Longino,2948
Daniel Joseph,938
Daniel Kontur,2808
Daniel Lee,3336
Daniel Lindsay,2923
Daniel Mann,3644
Daniel Mann,4582
Daniel Markowicz,180
Daniel McCabe,4487
Daniel Minahan,389
Daniel Monzón,2212
Daniel Noah,4356
Daniel Oriahi,1170
Daniel Oriahi,1578
Daniel Prochaska,393
Daniel Raim,4014
Daniel Sánchez Arévalo,1859
Daniel Schechter,301
Daniel Scheinert,4855
Daniel Stamm,3335
Daniel Stamm,5032
Daniel Yee Heng Chan,2037
Daniela Goggi,3411
Daniele Thompson,3645
Danish Aslam,847
Danishka Esterhazy,65
Danny Boyle,1660
Danny Boyle,5193
Danny Cannon,1893
Danny J. Boyle,3769
Danny Leiner,4013
Dante Lam,1978
Dante Lam,4525
Dante Lam,4526
Dar Gai,2077
Dare Olaitan,501
Darin Scott,2439
Darren Grant,1136
Darren Lynn Bousman,684
Darren Lynn Bousman,4811
Daryl Hannah,2724
Dash Shaw,4439
Datta Mohan Bhandare,2034
Dava Whisenant,3544
Dave Dorsey,3805
Dave Green,3830
Dave Higby,3198
Dave Higby,4674
Dave Patten,3509
Dave Skinner,1164
David Allensworth,4798
David Alvarado,2683
David Ayer,381
David Ayer,2809
David Ayer,3850
David Batra,1485
David Batty,4348
David Batty,4995
David Batty,4996
David Beier,3805
David Benioff,1665
David Blair,4388
David Briggs,5143
David Bruckner,2768
David Chirchirillo,3513
David Chuang,1408
David Cronenberg,2302
David de Vos,35
David Dhawan,100
David Dhawan,1188
David Dhawan,2744
David Dhawan,3674
David Dhawan,3683
David Dhawan,4018
David Dhawan,4162
David Dhawan,4327
David Dhawan,4430
David Dobkin,1231
David Dobkin,3919
David E. Talbert,865
David E. Talbert,2819
David Fairhead,4803
David Feiss,162
David Fincher,261
David Fincher,796
David Fincher,4544
David Fincher,4990
David Fincher,5123
David Fincher,5328
David Frankel,370
David Galán Galindo,1096
David Gelb,4156
David Gordon Green,163
David Gordon Green,4335
David Grossman,3945
David Guy Levy,5296
David Hackl,525
David Hebditch,4816
David Hunt,1508
David Johndrow,2274
David Koepp,5140
David L. Cunningham,4671
David L.G. Hughes,5241
David LaChapelle,995
David Lam,2427
David Lean,3800
David Lee Miller,2487
David Leveaux,4967
David Lowery,1672
David Lynch,1652
David M. Rosenthal,1705
David M. Rosenthal,2594
David Mackenzie,2364
David Mackenzie,4032
David Mackenzie,4815
David Marmor,3340
David McCracken,3640
David Michôd,1836
David Michôd,3005
David Michôd,5109
David Mirkin,4028
David Moreton,1097
David Morris,3497
David Mrnka,2792
David O. Russell,296
David O. Russell,4971
David Oelhoffen,1638
David Oyelowo,113
David Pablos,397
David Pablos,4932
David Pastor,1525
David Pastor,3662
David Paul Meyer,2349
David Paul Meyer,3090
David R. Ellis,3893
David R. Ellis,4751
David R. Ellis,4973
David Raynr,4347
David Sampliner,3285
David Schalko,3207
David Serrano,5264
David Silberg,3950
David Slade,199
David Soren,5215
David Stubbs,2868
David 'Tosh' Gitonga,948
David Wain,2777
David Wnendt,4295
David Zeiger,303
David Zucker,70
David Zucker,3542
David Zucker,5065
Davis Guggenheim,4023
Dean Craig,1466
Dean DeBlois,1045
Dean Parisot,417
Dean Wellins,3264
Dean Wright,3908
Deane Taylor,3600
Debaloy Dey,4313
Debamitra Biswal,1651
Debbie Allen,840
Deborah Kaplan,3655
Debra Granik,5290
Dee Rees,1587
Dee Rees,2840
Deep Joshi,2459
Deepa Mehta,781
Deepti Naval,1904
Dejan Zečević,5101
Demetri Martin,1977
Demetri Martin,3770
Denis Do,1165
Denis Villeneuve,3851
Deniz Gamze Ergüven,4216
Dennie Gordon,1404
Dennie Gordon,4463
Dennis Bartok,4451
Dennis Dugan,6
Dennis Dugan,659
Dennis Dugan,3575
Dennis Dugan,5320
Dennis Iliadis,3779
Dennis Rovira van Boekholt,1876
Dennis Widmyer,4049
Denny Lu,2343
Derek Cianfrance,3609
Derek Cianfrance,5083
Derek Hui,5168
Derek Peck,2698
Derek Yee,4856
Derick Cabrido,815
Desingh Periyasamy,1513
Destin Daniel Cretton,4760
Detlev Buck,795
Detlev Buck,2804
Detlev Buck,3042
Detlev Buck,3043
Detlev Buck,3044
Devaki Singh,4645
Devashish Makhija,2667
Devika Bhagat,1200
Devin Chanda,4239
Dhanush,2332
Dharmendra Suresh Desai,4675
Dharmesh Darshan,3566
Dharmesh Darshan,4611
Dheeraj Berry,4880
Dhilip Kumar,4181
Dianne Dreyer,3677
Dibakar Banerjee,101
Dibakar Banerjee,1185
Dibakar Banerjee,1681
Dibakar Banerjee,2402
Dibakar Banerjee,2630
Dibakar Banerjee,4194
Dibakar Banerjee,4748
Diego Cohen,2596
Diego Corsini,2239
Diego Kaplan,2810
Diego Lerman,2705
Diego Luna,3137
Diego Pignataro,1456
Diego Pignataro,1951
Diego Pignataro,3067
Digo Ricio,1459
Dileep Narayanan,4555
Dilip Mehta,3031
Dimitri Logothetis,562
Dimitri Logothetis,4198
Ding Sheng,4610
Ding-Lin Wang,1735
Dino Risi,4712
Dino Risi,5119
Dito Montiel,2675
DJ Chen,1840
Doesjka van Hoogdalem,2963
Dolapo Adeleke,579
Domenico de Feudis,985
Dominic Sena,359
Dominic Sena,4724
Don Argott,411
Don Bluth,3435
Don Bluth,3462
Don Mancini,3743
Don Michael Paul,339
Don Michael Paul,356
Don Michael Paul,533
Don Michael Paul,930
Don Michael Paul,1671
Don Michael Paul,1700
Don Michael Paul,2421
Don Michael Paul,2447
Don Michael Paul,5201
Don Michael Paul,5202
Don Omope,1860
Donald Petrie,723
Donick Cary,1374
Donovan Marsh,390
Dorian Fernández-Moris,4772
Doron Paz,4991
Doug Hamilton,4481
Doug Lefler,3822
Doug McHenry,57
Douglas McGrath,4093
Drake Doremus,115
Drake Doremus,2773
Drake Doremus,3855
Drew Casson,4079
Drew Stone,5283
Drue Metz,3805
Duncan Jones,2760
Duncan Jones,4415
Duncan McMath,1086
Duncan Skiles,412
Dustin Hoffman,129
Dustin McKenzie,4406
Dustin McKenzie,4412
Dustin McKenzie,4413
Dustin Nguyen,4144
Dylan Bank,3016
Dylan C. Brown,4312
Dylan Haegens,3765
Dylan Mohan Gray,1368
Dylan Southern,3297
Ed Lilly,5248
Eddie Martin,4020
Eddie Mensore,1474
Edgar Wright,4718
Edoardo Ponti,866
Eduardo Casanova,3061
Eduardo Mendoza de Echave,2634
Eduardo Pinto,972
Eduardo Roy Jr.,1233
Eduardo Roy Jr.,1258
Edward Cotterill,2989
Edward Cotterill,2992
Edward Cotterill,3001
Edward Drake,193
Edward James Olmos,467
Edward Zwick,1775
Edwin,1676
Edwin,1686
Eeshwar Nivas,3827
Ehtesham Uddin,4681
Ekachai Uekrongtham,4775
Ekene Som Mekwunye,1355
Elaine Bogan,2300
Eleonore Pourriat,2692
Eli Craig,2907
Eli Craig,5212
Eli Roth,1794
Eli Roth,3265
Eli Roth,4220
Eliane Brum,3008
Elisa Fuksas,1695
Elisabeth Vogler,2193
Elissa Down,1247
Elite Zexer,3147
Elizabeth Banks,4422
Elizabeth Wood,3158
Elle Callahan,4025
Elle-Máijá Tailfeathers,1777
Ellen Brown,2279
Ellen Page,1518
Ellen Seidler,334
Elliot Hegarty,4898
Elliot Silverstein,4924
Elsa Flores Almaraz,991
Elvira Lind,3612
Emanuel Hoss-Desmarais,3586
Emcy Joseph,1460
Emil Ben-Shimon,5158
Emilio Martínez Lázaro,3181
Emily Hagins,3128
Emir Kusturica,1694
Emma Hatherley,3829
Emma Tammi,366
Emmanuel Mouret,2155
Emmett Malloy,601
Emmett Malloy,5139
Enah Johnscott,507
Eondeok Han,1679
Eric Abrams,2950
Eric Aghimien,1747
Eric Bress,829
Eric Bross,1826
Eric D. Cabello Díaz,638
Eric Darnell,421
Eric Darnell,688
Eric Darnell,1398
Eric Idle,2448
Eric Idle,2449
Éric Judor,88
Eric Khoo,4615
Eric Laneuville,3301
Eric Meza,58
Eric Notarnicola,1240
Eric Radomski,4349
Eric Radomski,4411
Eric Stoltz,3713
Eric Summer,707
Éric Toledano,699
Éric Warin,707
Eric Zaragosa,4108
Erik Canuel,3076
Erik Canuel,5227
Erik Ewers,5057
Erik Kling,794
Erik Matti,2361
Erik White,2114
Ernie Barbarash,229
Ernie Barbarash,1833
Ernie Barbarash,2814
Ernie Barbarash,2932
Erol Özlevi,583
Errol Morris,2855
Errol Morris,5148
Ertanto Robby Soediskam,1073
Erwin van den Eshof,1630
Erwin van den Eshof,1968
Eshom Nelms,382
Espen Sandberg,4224
Esteban Crespo,657
Esteban Crespo,2952
Esteban Sapir,4886
Esteban Vidal,3540
Esteban Vidal,3995
Ethan Coen,1454
Ethan Coen,2353
Ethan Coen,3390
Ethan Hawke,3598
Eugenio Derbez,4122
Eva Orner,1787
Eva Trobisch,2030
Eva Vives,3434
Evan Goldberg,84
Evan Katz,3034
Evan Spiridellis,2826
Everardo Gout,4345
Eylem Kaftan,552
Ezekiel Norton,3535
Ezekiel Norton,3537
Ezekiel Norton,3538
Fabien Beziat,3843
Fabio Grassadonia,4765
Fabio Ock,1214
Fabrice Du Welz,2939
Fabrizio Copano,3498
Faisal al Amer,1575
Fajar Bustomi,595
Fajar Bustomi,1273
Fajar Bustomi,1361
Fajar Bustomi,1362
Faozan Rizal,2231
Faraday Okoro,1116
Farah Khan,2708
Farah Khan,2710
Farah Khan,3105
Farah Khan,4871
Farah Nabulsi,570
Faraz Haider,5257
Farhad Safinia,776
Farhan Akhtar,1716
Farhan Akhtar,1718
Farhan Akhtar,1719
Farhan Akhtar,1726
Farhan Alam,1925
Faris Godus,996
Faris Godus,1575
Farjad Nabi,3366
Fazila Allana,2949
Federico D'Alessandro,2623
Federico Veiroj,2022
Federico Veiroj,4892
Felipe Cano,2064
Felix Binder,1075
Felix Chong,2331
Felix Herngren,3037
Felix Starck,2641
Felix Thompson,4213
Felix Van Groeningen,3242
Fellipe Barbosa,3936
Femi Oyeniran,5019
Femi Oyeniran,5020
Feng Xiaogang,4090
Ferdinando Cito Filomarino,120
Fernando Ayllón,553
Fernando Ayllón,1389
Fernando Ayllón,1931
Fernando Ayllón,2078
Fernando Ayllón,2102
Fernando Ayllón,2665
Fernando Coimbra,3039
Fernando Colomo,2345
Fernando Frías de la Parra,1320
Fernando Frías de la Parra,4642
Fernando González Molina,1158
Fernando González Molina,1451
Fernando González Molina,2940
Fernando González Molina,4543
Fernando Lebrija,2897
Fernando Meirelles,1710
Fernando Meirelles,3708
Fernando Sariñana,4289
Fernando Villena,778
Feroz,2247
Ferzan Özpetek,1417
Filip Renc,3014
Filip Zylber,643
Fisher Stevens,3291
Fisher Stevens,3556
Florent Bodin,709
Florent Bodin,1033
Florent Bodin,4254
Floria Sigismondi,1504
Florian Gallenberger,3725
Florian Henckel von Donnersmarck,270
Florian Henckel von Donnersmarck,5041
Florian Schnell,2910
Florian Schott,999
Floyd Russ,2553
Francesco Amato,1376
Francesco Carnesecchi,1088
Francesco Imperato,2048
Francesco Imperato,2139
Francesco Lettieri,1528
Francine Parker,300
Francis Ford Coppola,5096
Francis Lee,3967
Francis Whately,976
Francisco D'Eufemia,697
Francisco Schultz,2898
Franck Ekinci,3484
Franck Nataf,1132
Franck Phelizon,2169
Franck Ribière,2522
Frank Ariza,1982
Frank Capra,4221
Frank Capra,5214
Frank Coraci,3258
Frank Coraci,3715
Frank Coraci,5153
Frank Marshall,236
Frank O'Connor,4000
Frank Oz,4949
Frank Oz,5017
Frank Oz,5114
Frank Paur,4076
Frank Rajah Arase,1709
Frank W Chen,2145
Frant Gwo,2063
Franziska Meyer Price,1127
Frasco Mortiz,909
Fred Cavayé,2352
Fred Durst,5045
Fred M. Wilcox,3913
Fred Olen Ray,4787
Fred Wolf,1109
Freddie Waters,1164
Frédéric Tonolli,4206
Fritz Böhm,1506
Fumihiko Sori,2762
Funke Akindele,30
Fuwad Khan,1189
G.J. Echternkamp,1631
G.J. Echternkamp,4656
Gabe Ibáñez,3500
Gabe Klinger,4585
Gabe Turner,4087
Gabriel Clarke,3614
Gabriel Cruz Rivas,1838
Gabriel Grieco,4085
Gabriel Sabloff,4691
Gabriela García Rivas,1527
Gabriela Tagliavini,2065
Gabriele Muccino,252
Gabriele Muccino,711
Gabriele Muccino,5093
Gaby Dellal,3351
Gaëtan Brizzi,4178
Gafoor Y. Elliyaas,4549
Gagan Puri,1152
Gail Willumsen,4489
Gajendra Ahire,3585
Gajendra Ahire,4574
Gajendra Ahire,4699
Galley Molina,3739
Ganesh Kadam,5245
Gangadhar Salimath,2201
Gareth Evans,2434
Gareth Evans,4372
Gareth Sacala,4735
Garin Nugroho,3678
Garry Marshall,177
Garry Marshall,247
Garry Marshall,4670
Garth Davis,243
Gary Andrews,1034
Gary Binkow,2395
Gary Cohen,3621
Gary David Goldberg,3747
Gary Fleder,682
Gary Fleder,4218
Gary Goldman,3435
Gary Howsam,1330
Gary Howsam,3259
Gary Mak,2333
Gary Michael Schultz,5243
Gary Ross,166
Gary Ross,993
Gary Shore,4049
Gary Stretch,1512
Gary Wang,2914
Gary Wheeler,3701
Gary Winick,64
Gary Young,5219
Gaspar Antillo,1239
Gastón Duprat,2238
Gastón Duprat,2913
Gastón Duprat,2917
Gaurav Bavdankar,1759
Gaurav Narayanan,2407
Gauravv K Chawla,2253
Gauri Shinde,3035
Gautham Vasudev Menon,132
Gautham Vasudev Menon,760
Gautier & Leduc,1804
Gavin Fitzgerald,3732
Gavin O'Connor,4380
Gavin Yap,1850
Gayane Petrosyan,3622
Geetu Mohandas,2965
Genevieve Nnaji,2262
Genndy Tartakovsky,4066
Geoff Anderson,4883
Geoffrey Orthwein,3615
George C. Wolfe,758
George C. Wolfe,4469
George Clooney,746
George Clooney,3979
George Cukor,530
George Gallo,1281
George Jackson,57
George Mendeluk,5162
George Miller,4314
George Nolfi,9
George Ratliff,368
Georges Hachem,1261
Gerard Barrett,2627
Gerard McMurray,3081
Gerardo Gatica,465
Gerardo Olivares,1988
Gerardo Olivares,3053
Gerry Hoban,4153
Gervasio Iglesias,3430
Geun-hyun Cho,2879
Giancarlo Esposito,5118
Gianfranco Rosi,3895
Gideon Raff,1971
Gil Baroni,918
Gil Kenan,809
Gilbert Chan,2290
Gilles Paquet-Brenner,3760
Gilles Paquet-Brenner,4696
Gillian Armstrong,5031
Gillian Robespierre,1853
Gillian Robespierre,4497
Gina Prince-Bythewood,1175
Ginny Mohler,685
Girish Joshi,4618
Girish Malik,780
Girish Malik,4146
Girish Mohite,3585
Gitanjali Rao,590
Giulia Clark,4478
Giulio Base,4243
Glen Goei,1850
Glen Keane,919
Glen Winter,181
Glendyn Ivin,673
Glenn Miller,4694
Glenn Weiss,489
Go Koga,2843
Golam Kibria Farooki,1712
Gonzalo Bendala,2286
Gonzalo López-Gallego,2054
Gonzalo López-Gallego,3483
Gonzalo López-Gallego,5007
Gordon Anderson,3064
Gordon Chan,3964
Gordon Parks,4846
Gore Verbinski,735
Gore Verbinski,5103
Graham Phillips,4921
Graham Townsley,4483
Grand Corps Malade,1467
Grant Heslov,5059
Grant Korgan,5094
Grant S. Johnson,3052
Grant Singer,838
Grant Sputore,2024
Greg Barker,1450
Greg Berlanti,242
Greg Coolidge,3848
Greg MacGillivray,3824
Greg MacGillivray,4456
Greg McLean,1268
Greg Mottola,4845
Greg Pritikin,2256
Greg Rankin,834
Greg Rankin,1156
Greg Rankin,1515
Greg Richardson,3129
Greg Strause,4778
Greg Tiernan,1090
Greg Whiteley,3293
Greg Young,4591
Gregg Bishop,4773
Gregory Caruso,3904
Gregory Hoblit,3712
Gregory Hoblit,3878
Gregory Hoblit,3916
Gregory Hoblit,4592
Gregory Jacobs,1622
Gregory Nava,276
Gregory Plotkin,666
Greta Gerwig,1297
Griffin Dunne,2858
Griffin Dunne,4422
Guilherme Fontes,3202
Guillaume Pierret,1248
Guillaume Renard,1701
Guillermo del Toro,478
Guillermo del Toro,1684
Guillermo del Toro,4033
Gulzar,4225
Guntur Soeharjanto,1864
Guo Jingming,655
Gupse Özay,1896
Gurinder Chadha,5239
Gurmmeet Singh,1209
Gurudev Bhalla,4749
Gurvinder Singh,3687
Gus Van Sant,4378
Gus Van Sant,5115
Guy Ritchie,4286
Guy Ritchie,4754
Guy Vasilovich,3946
Habib Faisal,2382
Hadi El Bagoury,5102
Hadi El Bagoury,5260
Hadrah Daeng Ratu,202
Haifaa Al-Mansour,1353
Haifaa Al-Mansour,2157
Haile Gerima,1
Haissam Hussain,3520
Hajime Kamegaki,21
Hajime Kamegaki,23
Hakan Algül,447
Hakan Algül,458
Hakan Algül,1055
Hakan Algül,1871
Hakan Algül,3564
Hakan Algül,3871
Hakan Algül,3872
Hakan Algül,3873
Hakan Yonat,4678
Halder Gomes,2384
Halitha Shameem,591
Halitha Shameem,1640
Hallie Meyers-Shyer,209
Hallvard Bræin,712
Ham Tran,3588
Hamad AlSarraf,1379
Hamisha Daryani Ahuja,633
Han Han,2040
Han Qing,2539
Han Yan,2511
Handan İpekçi,1415
Hang-Jun Jang,2761
Hani Al-Shaibani,1309
Hani Hamdi,3353
Hani Hamdi,4138
Hannah Fidell,1179
Hannah Fidell,3273
Hannes Stöhr,3120
Hanno Olderdissen,2027
Hans Petter Moland,4226
Hanung Bramantyo,536
Hanung Bramantyo,694
Hanung Bramantyo,956
Hanung Bramantyo,1439
Hanung Bramantyo,2121
Hanung Bramantyo,2233
Hanung Bramantyo,2235
Hanung Bramantyo,4789
Hany Motawie,1337
Haoling Li,2558
Harald Zwart,902
Hardik Mehta,217
Hardik Mehta,502
Hari Nath,2207
Hari Viswanath,4607
Harjit Singh,3836
Hark Tsui,3790
Harmony Korine,4805
Harold Becker,341
Harold Cronk,3962
Harold Cronk,3965
Harpeet Singh,218
Harrison Smith,3775
Harry Baweja,3672
Harry Bradbeer,1016
Harry Chaskin,2953
Harry Elfont,3655
Harshavardhan Kulkarni,964
Haruka Fujita,1481
Harvey Lilley,5242
Harvey Lowry,1830
Harvey Lowry,4937
Hasan Aljaberi,2153
Hasan Karacadağ,2098
Hasan Karacadağ,2099
Hasan Karacadağ,3746
Hashim Nadeem Khan,2245
Hasraf Dulull,3343
Hassan AbdulSalam,1335
Hassan Hegazy,4358
Hatem Khraiche,2697
Hayao Miyazaki,2650
Hayato Date,1927
Hayden Guppy,1172
Hayden Schlossberg,4012
Hazem Fouda,1414
Hazem Fouda,3468
He Xiaofeng,1380
Heber Cannon,3929
Hèctor Hernández Vicens,2702
Heidi Ewing,3180
Heidi Saman,4453
Heitor Dhalia,4510
Helena Bergström,328
Hemambar Jasti,576
Hemant Gaba,3234
Henri Wong,648
Henrik Martin Dahlsbakken,3669
Henrik Ruben Genz,3980
Henry Hathaway,5209
Henry Joost,1118
Henry Sarwer-Foner,3387
Henry Selick,3737
Hepi Mita,2056
Herman Yau,2075
Herman Yau,4750
Hernán Guerschuny,1387
Hideaki Anno,2006
Hideaki Anno,2007
Hideki Futamura,4000
Hidenori Inoue,532
Hidetaka Inazuka,5217
Hikari,1633
Hiromasa Yonebayashi,1328
Hiromasa Yonebayashi,4350
Hiroshi Aoyama,4717
Hiroshi Katagiri,3942
Hirotsugu Kawasaki,25
Hiroyuki Seshita,2257
Hiroyuki Seshita,2592
Hiroyuki Seshita,2788
Hiroyuki Seshita,3007
Hitoshi Namba,1082
Holger Tappe,4401
Honey Trehan,1142
Hong Khaou,634
Hong Won-ki,1106
Hong-seon Kim,2757
Houda Benyamina,1377
Houda Benyamina,3173
Houssam El-Din Mustafa,1336
Howard Zieff,160
Howard Zieff,161
Hoyt Yeatman,3935
Hrishikesh Mukherjee,3545
Hrishikesh Mukherjee,3706
Hrishikesh Mukherjee,3968
Hrishikesh Mukherjee,4195
Hsu Chih-yen,2221
Hsu Fu-chun,145
Hua Shan,4278
Huang Hsin-Yao,622
Huang Jianming,4030
Huang Lei,5274
Hugh Stewart,5214
Hugh WIlson,4976
Hugo Stuven,2255
Hugues Nancy,3843
Husam El-Gohari,4620
Hussein El Ansary,1370
Huw Cordey,1851
Iain Softley,4120
Ian Barber,3883
Ian Daniel,1518
Ian Edelman,1457
Ian Edelman,2540
Ian Kirby,4001
Ian MacAllister-McDonald,4794
Ian MacNaughton,2451
Ian MacNaughton,2454
Ian Nelms,382
Ian Samuels,2521
Ibai Abad,2833
Ibrahim Bin Mohamed,2153
Ibrahim Bin Mohamed,2851
Icíar Bollaín,3311
Ifa Isfansyah,3940
Ifa Isfansyah,4948
Iginio Straffi,2977
Iginio Straffi,4321
Ignacio Jaunsolo,1765
Igor Kovalyov,1891
Ildiko Enyedi,2771
Ilya Naishuller,4011
Iman Brotoseno,3352
Imtiaz Ali,1010
Imtiaz Ali,1424
Imtiaz Ali,2567
Imtiaz Ali,2575
Imtiaz Ali,2824
Imtiaz Ali,4788
Iñaki Dorronsoro,2850
Inas El-Degheidy,1299
Indra Kumar,962
Indra Kumar,1011
Indra Kumar,3789
Indra Kumar,3989
Indra Kumar,4844
Indrajit Nattoji,2370
Indrasis Acharya,3584
Inma Torrente,122
Ippsie Jones,3052
Ira Sachs,4281
Irwin Winkler,175
Isa Campo,3032
Isaac Ezban,5014
Isaac Ezban,5121
Isaac Florentine,2780
Isaac Rentz,2943
Isabel Coixet,2023
Isabel Sandoval,1100
Isabelle Nanty,2660
Isaki Lacuesta,3032
Isao Yukisada,2165
Ishaan Trivedi,3388
Ishaya Bako,1242
Ishaya Bako,1271
Ishaya Bako,4648
Ishi Rudell,2485
Ishi Rudell,2486
Ishi Rudell,3206
Ishi Rudell,4442
Ishi Rudell,4443
Ismail Farouk,3468
Ismail Farouk,4438
Ísold Uggadóttir,2261
Israel Adrián Caetano,2916
Israel Adrián Caetano,3704
Israel Adrián Caetano,4576
Ivan Ayr,405
Ivan Ayr,2244
Ivan Reitman,248
Ivan Reitman,3865
Ivan Reitman,4829
Ivan Sen,3971
Ivan Silvestrini,1620
Ivona Juka,5318
Iwao Takamoto,3682
Izidore K. Musallam,1304
Izu Ojukwu,140
J Blakeson,624
J. Davis,3263
J. Lee Thompson,83
J. Michael Long,3432
J.A. Bayona,683
J.A. Bayona,898
J.C. Chandor,2152
J.C. Chandor,3381
J.C. Falcón,4561
J.D. Dillard,385
J.D. Dillard,1702
J.F. Musial,3482
J.J. Abrams,255
J.M. Berrios,4833
Jacek Koprowicz,4365
Jack C. Newell,3356
Jack C. Newell,4057
Jack Starrett,3714
Jack Zagha Kababie,5261
Jackie van Beek,2210
Jacob Joice,1885
Jacob Kornbluth,2837
Jacob Kornbluth,4118
Jacob Schwab,4132
Jacques Cluzaud,4498
Jacques Perrin,4498
Jacqui Morris,3497
Jadesola Osiberu,1724
Jagdeep Sidhu,1760
Jaime Rayo,2005
Jaivi Dhanda,2491
Jake Paltrow,3766
Jake Szymanski,2552
Jaki Bradley,4251
Jakob Lass,2013
Jakob Schuh,4640
Jakob Verbruggen,4292
Jalil Lespert,3028
Jalil Lespert,3135
Jamal Hill,3056
James Bamford,1618
James Barr,4588
James Bobin,4432
James Bobin,5063
James Brown,5316
James D. Stern,778
James Dearden,1831
James Duffy,4422
James Foley,4563
James Franco,1311
James Haslam,753
James Hawes,3146
James Ivory,3074
James L. Brooks,3491
James Mangold,143
James Mangold,4183
James Marsh,2304
James Mather,4288
James McTeigue,353
James McTeigue,5235
James Ponsoldt,4964
James Ponsoldt,5125
James Redford,383
James Rogan,2452
James Spinney,3077
James Sweeney,4825
James Toback,696
James Toback,5221
James Wan,524
James Wan,620
James Wan,621
James Watkins,1038
James Wong,3892
James Wong,3894
James Woodroffe,3994
James Yukich,3150
James Yukich,3290
Jami,4418
Jamie Babbit,499
Jamie M. Dagg,4854
Jan Belcl,656
Jan Holoubek,214
Jan Komasa,1150
Jan Suter,2584
Jan Suter,2598
Jan Suter,2621
Jan Suter,2643
Jan Suter,2653
Jan Suter,2701
Jan Suter,2716
Jan Suter,2738
Jan Suter,2739
Jan Suter,2779
Jan Suter,2781
Jan Suter,2787
Jan Suter,2844
Jan Suter,2872
Jan Suter,2937
Jan Suter,3021
Jan Suter,3102
Jan Suter,3148
Jan Suter,3170
Jan Suter,3235
Jan Suter,3252
Jane Campion,37
Jane Campion,40
Jane Campion,119
Jang Jae-hyun,2041
Jani Lachauer,4640
Jani Lachauer,4661
Jan-Peter Horns,887
Janusz Majewski,4065
Janusz Majewski,4150
Jarand Herdal,921
Jared Hess,3806
Jared Hess,4450
Jared Moshé,1616
Jared Stern,2715
Jarrad Paul,4946
Jasbir Bijendra Bhati,3573
Jasmine D'Souza,4520
Jason Bourque,3738
Jason James,3853
Jason Krawczyk,3245
Jason Kwan,3685
Jason Lai,2294
Jason Moore,3295
Jason Orley,1581
Jason Paul Laxamana,798
Jason Paul Laxamana,2130
Jason Priestley,3773
Jason Reitman,5231
Jason Reitman,5321
Jason Stone,3495
Jason Sussberg,2683
Jason Winer,3488
Jason Zada,1595
Jastis Arimba,706
Jathin Sanker Raj,2358
Jatla Siddartha,2529
Jaume Collet-Serra,726
Javier Ambrossi,2776
Javier Calvo,2776
Javier Colinas,1044
Javier Ruiz Caldera,2124
Javier Ruiz Caldera,4810
Jay Baruchel,2802
Jay Chandrasekhar,4664
Jay Chandrasekhar,4961
Jay Chapman,1976
Jay Chapman,2266
Jay Chapman,2282
Jay Chapman,2806
Jay Chapman,2823
Jay Chapman,2925
Jay Chapman,2926
Jay Chapman,2955
Jay Chapman,2956
Jay Chapman,3041
Jay Chapman,3222
Jay Chapman,4102
Jay Chou,4725
Jay Grace,751
Jay Karas,1468
Jay Karas,1977
Jay Karas,2011
Jay Karas,2618
Jay Karas,2651
Jay Karas,2794
Jay Karas,2877
Jay Karas,3110
Jay Karas,3216
Jay Karas,3221
Jay Karas,3240
Jay Karas,3255
Jay Karas,3270
Jay Karas,3274
Jay Karas,3287
Jay Lavender,569
Jay Oliva,309
Jay Roach,231
Jay Roach,232
Jay Roach,233
Jay Roach,3795
Jay Roach,5211
Jay Russell,5152
Jay Surridge,3611
Jayan Moodley,325
Jayan Moodley,1069
Jayan Vannery,4310
Jayaprakash Radhakrishnan,2993
Jayaraj Rajasekharan Nair,4531
Jayme Monjardim,284
Jayson Thiessen,4442
Jayson Thiessen,4443
Jazz Boon,2329
Jean-Bernard Marlin,2058
Jean-Claude Flamand-Barny,1634
Jean-Claude La Marre,2928
Jean-François Blais,1869
Jean-François Richet,3602
Jean-Loup Felicioli,4567
Jean-Marc Vallée,3753
Jeannie Gaffigan,3126
Jeannot Szwarc,11
Jean-Patrick Benes,3006
Jean-Pierre Dardenne,5147
Jedd Wider,3963
Jeethu Joseph,1586
Jeethu Joseph,1623
Jeeva,4669
Jee-woon Kim,4887
Jeff Baena,1614
Jeff Baena,4270
Jeff Baena,5038
Jeff Chan,1465
Jeff Deverett,716
Jeff Garlin,3020
Jeff Gill,2826
Jeff Margolis,3164
Jeff Newitt,5082
Jeff Nichols,858
Jeff Nichols,4377
Jeff Nichols,4429
Jeff Orlowski,1064
Jeff Stilson,719
Jeff Tomsic,1534
Jeff Tremaine,713
Jeff Tremaine,2127
Jeff Wadlow,423
Jeff Wadlow,3176
Jeffrey G. Hunt,4709
Jeffrey Nachmanoff,5194
Jeffrey W. Byrd,4214
Jeffrey Walker,2636
Jeffrey Walker,3754
Jehane Noujaim,3294
Jelle de Jonge,3618
Jen McGowan,817
Jenée LaMarque,4970
Jenna Laurenzo,4269
Jennifer Baichwal,4293
Jennifer Beamish,725
Jennifer Brea,408
Jennifer Kaytin Robinson,2083
Jennifer Lee,3264
Jennifer Lynch,4043
Jennifer M. Kroot,2409
Jennifer Morrison,2700
Jennifer Phang,3279
Jennifer Westcott,893
Jennifer Yuh Nelson,241
Jenny Carchman,3852
