Sum of budget,country,genre,language,Year,Quarter,Month,Day,Sum of revenue,Sum of score,title
2500000,AR,"Animation, Adventure, Romance"," Spanish, Castilian",2013,Qtr 3,July,18,1392649,66,Underdogs
95240000,AR,Comedy," Spanish, Castilian",2022,Qtr 3,September,8,570086135.4,70,Más respeto que soy tu madre
110000000,AR,Comedy," Spanish, Castilian",2022,Qtr 4,October,20,681644523.8,81,El gerente
114200000,AR,Comedy," Spanish, Castilian",2023,Qtr 1,January,19,241031716.6,60,The Tangalanga Method
201000000,AR,Comedy," Spanish, Castilian",2023,Qtr 1,March,1,1569323844,100,El asistente
115500000,AR,"Comedy, Drama"," Spanish, Castilian",2022,Qtr 1,March,30,365470598,64,All Hail
98500000,AR,"Comedy, Drama, Family"," Spanish, Castilian",2021,Qtr 1,February,19,461099190.8,78,BIA: An Upside Down World
84800000,AR,"Comedy, Romance, Thriller"," Spanish, Castilian",2022,Qtr 3,September,21,543128898.6,76,Little Lies
29211149.2,AR,"Comedy, Thriller, Crime"," Spanish, Castilian",2020,Qtr 1,January,16,7627100,78,The Heist of the Century
78400000,AR,Crime," Spanish, Castilian",2022,Qtr 3,July,27,935243953.4,55,Recurrence
59700000,AR,"Crime, Thriller"," Spanish, Castilian",2016,Qtr 2,April,21,406691548.2,71,At the End of the Tunnel
118800000,AR,Documentary," Spanish, Castilian",2006,Qtr 1,March,10,842846355.6,40,Porno
62100000,AR,Documentary," Spanish, Castilian",2022,Qtr 2,April,21,534518566.6,77,The Photographer: Murder in Pinamar
41500000,AR,Documentary," Spanish, Castilian",2022,Qtr 3,August,10,298690257.2,67,Bank Robbers: The Last Great Heist
100000000,AR,Drama," Spanish, Castilian",2022,Qtr 4,October,13,369861963.8,71,Noise
1800000,AR,Drama," Spanish, Castilian",2022,Qtr 4,November,5,0,83,Sublime
92400000,AR,"Drama, Crime"," Spanish, Castilian",2014,Qtr 4,October,12,781330534.6,77,The Boss: Anatomy of a Crime
100300000,AR,"Drama, Crime"," Spanish, Castilian",2022,Qtr 4,October,20,394284937.6,57,The Substitute
5377753.2,AR,"Drama, History"," Spanish, Castilian",2022,Qtr 3,September,29,871621,80,"Argentina, 1985"
667000,AR,"Drama, Mystery, Crime"," Spanish, Castilian",2018,Qtr 2,April,19,100216295,62,Perdida
120000000,AR,"Drama, Romance"," Spanish, Castilian",2016,Qtr 2,May,19,303727772.6,63,The Red Thread
123240000,AR,"Fantasy, Horror, Comedy"," Spanish, Castilian",2023,Qtr 1,January,5,647667399,70,Legions
75100000,AR,Horror," Spanish, Castilian",2018,Qtr 2,May,3,636679839.4,66,Terrified
89000000,AR,Horror," Spanish, Castilian",2021,Qtr 4,December,2,356423971.8,65,The Last Zombie
101400000,AR,Horror," Spanish, Castilian",2022,Qtr 2,April,21,531683245.8,69,Virus:32
87600000,AR,Horror," Spanish, Castilian",2022,Qtr 4,November,17,817860943.8,43,Luz Mala
52600000,AR,"Horror, Mystery"," Spanish, Castilian",2020,Qtr 4,December,4,267726003.8,56,On the Third Day
85800000,AR,"Music, Documentary"," Spanish, Castilian",2022,Qtr 4,December,8,568195972,68,Just Love and a Thousand Songs
142500000,AR,"Romance, Comedy"," Spanish, Castilian",2022,Qtr 4,December,7,341774820.8,63,The Marriage App
162100000,AR,"Romance, Drama"," Spanish, Castilian",2017,Qtr 4,October,5,437846475.2,59,Desire
115000000,AR,Thriller," Spanish, Castilian",2022,Qtr 2,April,28,604531768.4,56,Targeted
138600000,AR,Thriller," Spanish, Castilian",2022,Qtr 3,August,18,308041312.4,50,The Bush
94000000,AR,Thriller," Spanish, Castilian",2022,Qtr 3,August,25,321279166.8,63,An Argentinian Crime
151860000,AR,Thriller," Spanish, Castilian",2023,Qtr 2,April,6,485525698.4,80,La extorsión
88600000,AR,"Thriller, Drama"," Spanish, Castilian",2022,Qtr 2,June,15,365470598,64,The Wrath of God
165600000,AR,"Thriller, Drama"," Spanish, Castilian",2022,Qtr 4,December,1,372589869,50,El lado salvaje
150000000,AR,"Thriller, Fantasy, Horror"," Spanish, Castilian",2022,Qtr 3,September,29,605259782.4,58,Don't Come Back Alive
51400000,AR,"Thriller, Horror"," Spanish, Castilian",2022,Qtr 1,January,27,379851763.2,64,Echoes
122400000,AR,"Thriller, Horror"," Spanish, Castilian",2022,Qtr 4,November,9,344127931.8,55,The Last Heretic
65200000,AR,"Thriller, Romance"," Spanish, Castilian",2021,Qtr 1,March,18,374539590.8,67,Amor Bandido
94100000,AR,"Thriller, Science Fiction"," Spanish, Castilian",2020,Qtr 2,April,23,542827557.2,67,Toxic
5000000,AT,"Action, Drama, Thriller", English,2020,Qtr 1,January,10,0,61,7500
106000000,AT,"Drama, War", German,2007,Qtr 1,March,23,144565535.2,73,The Counterfeiters
70000000,AU,"", English,1979,Qtr 1,January,1,461630558,65,Cars
80300000,AU,"", English,2000,Qtr 1,January,1,321306715.6,56,"Moses, Prince of Egypt"
85600000,AU,Action, Chinese,2017,Qtr 3,September,29,412187195.8,70,Sky Hunter
10000000,AU,Action, English,1973,Qtr 4,November,1,21485066,74,Enter the Dragon
11600000,AU,Action, English,1978,Qtr 4,December,1,9884149,69,The Wild Geese
1000000,AU,Action, English,1986,Qtr 3,July,3,10499694,59,American Ninja
10000000,AU,Action, English,1990,Qtr 2,May,17,47410000,60,Hard to Kill
6000000,AU,Action, English,1990,Qtr 4,November,29,24271196,65,Lionheart
8000000,AU,Action, English,1992,Qtr 3,July,23,2275557,64,Showdown in Little Tokyo
28000000,AU,Action, English,1994,Qtr 3,September,9,30156002,61,Blown Away
35000000,AU,Action, English,1996,Qtr 1,January,11,64350171,59,Sudden Death
5000000,AU,Action, English,2003,Qtr 1,March,13,30493831.2,54,Sniper 2
40000000,AU,Action, English,2004,Qtr 1,January,22,46176322,52,Torque
15000000,AU,Action, English,2012,Qtr 4,December,6,22018988,55,The Man with the Iron Fists
105000000,AU,Action, English,2015,Qtr 1,March,10,280137286.4,56,The Man with the Iron Fists 2
11000000,AU,Action, English,2015,Qtr 3,September,2,593683,60,Tracers
20000000,AU,Action, English,2016,Qtr 2,May,12,14397593,63,Bastille Day
83800000,AU,Action, English,2019,Qtr 1,March,5,746458890.8,54,The Hard Way
66890000,AU,Action, English,2021,Qtr 1,March,1,448572309.6,62,Redemption Day
15000000,AU,Action, English,2021,Qtr 3,July,6,8804000,69,The Vault
57404639.8,AU,Action, English,2022,Qtr 1,January,1,29439,68,One Shot
48000000,AU,"Action, Adventure", Cantonese,2014,Qtr 2,June,12,171339013,62,Chinese Zodiac
92000000,AU,"Action, Adventure", English,1995,Qtr 4,December,26,18517322,58,Cutthroat Island
65000000,AU,"Action, Adventure", English,1998,Qtr 4,November,23,233700000,65,The Mask of Zorro
70000000,AU,"Action, Adventure", English,2014,Qtr 1,January,30,58953319,48,The Legend of Hercules
170000000,AU,"Action, Adventure", English,2014,Qtr 3,July,24,494088614,116,Hercules
40000000,AU,"Action, Adventure", English,2015,Qtr 2,May,27,3643591,65,Last Knights
150000000,AU,"Action, Adventure", English,2015,Qtr 3,July,30,682716636,72,Mission: Impossible - Rogue Nation
178000000,AU,"Action, Adventure", English,2018,Qtr 3,August,2,791657398,74,Mission: Impossible - Fallout
23000000,AU,"Action, Adventure", English,2020,Qtr 4,December,1,4673377,56,Rogue
88000000,AU,"Action, Adventure", English,2021,Qtr 3,July,22,34677221,66,Snake Eyes: G.I. Joe Origins
120000000,AU,"Action, Adventure", English,2022,Qtr 1,February,17,400689914,70,Uncharted
6500000,AU,"Action, Adventure", Norwegian,2013,Qtr 1,January,1,3721345,57,Ragnarok
126300000,AU,"Action, Adventure, Animation, Comedy", English,2006,Qtr 1,January,25,401345912,69,Stewie Griffin: The Untold Story
140000000,AU,"Action, Adventure, Animation, Comedy, Family", English,2016,Qtr 1,March,24,521170825,69,Kung Fu Panda 3
99000000,AU,"Action, Adventure, Animation, Comedy, Family", English,2019,Qtr 1,March,21,192456290,67,The Lego Movie 2: The Second Part
125031600,AU,"Action, Adventure, Animation, Drama", Japanese,2006,Qtr 4,October,11,408208701.6,72,Fullmetal Alchemist the Movie: Conqueror of Shamballa
27610000,AU,"Action, Adventure, Animation, Drama, Family, Fantasy", Japanese,2016,Qtr 1,March,3,49714378,80,The Boy and the Beast
92000000,AU,"Action, Adventure, Animation, Family", English,2004,Qtr 4,December,26,631441092,77,The Incredibles
20000000,AU,"Action, Adventure, Animation, Family", English,2016,Qtr 3,September,14,8821329,58,Ratchet & Clank
200000000,AU,"Action, Adventure, Animation, Family", English,2018,Qtr 2,June,14,1242805359,75,Incredibles 2
130000000,AU,"Action, Adventure, Animation, Family, Comedy", English,2008,Qtr 2,June,26,631910531,72,Kung Fu Panda
76000000,AU,"Action, Adventure, Animation, Science Fiction", English,2010,Qtr 1,March,15,488364590.2,73,Justice League: Crisis on Two Earths
90000000,AU,"Action, Adventure, Animation, Science Fiction", English,2018,Qtr 4,December,13,375540831,84,Spider-Man: Into the Spider-Verse
30000000,AU,"Action, Adventure, Animation, Science Fiction, Thriller", English,2009,Qtr 3,September,3,48559999,69,9
109040000,AU,"Action, Adventure, Animation, War, Science Fiction", Japanese,2009,Qtr 2,May,29,388149760.2,67,The Sky Crawlers
9400000,AU,"Action, Adventure, Comedy", English,1964,Qtr 4,December,3,60000000,70,"It's a Mad, Mad, Mad, Mad World"
4300000,AU,"Action, Adventure, Comedy", English,1977,Qtr 3,July,1,126737428,69,Smokey and the Bandit
15000000,AU,"Action, Adventure, Comedy", English,1980,Qtr 4,December,30,70687344,58,Any Which Way You Can
12000000,AU,"Action, Adventure, Comedy", English,1986,Qtr 4,December,26,79817937,59,The Golden Child
65000000,AU,"Action, Adventure, Comedy", English,1991,Qtr 2,June,20,17218916,57,Hudson Hawk
90000000,AU,"Action, Adventure, Comedy", English,1993,Qtr 4,December,9,139877913,64,The Three Musketeers
120000000,AU,"Action, Adventure, Comedy", English,2003,Qtr 3,July,4,227163273,54,Charlie's Angels: Full Throttle
116000000,AU,"Action, Adventure, Comedy", English,2004,Qtr 3,August,26,114004159,118,Around the World in 80 Days
60000000,AU,"Action, Adventure, Comedy", English,2007,Qtr 1,March,8,253555383,59,Wild Hogs
28000000,AU,"Action, Adventure, Comedy", English,2011,Qtr 3,August,11,41146935,57,30 Minutes or Less
58000000,AU,"Action, Adventure, Comedy", English,2016,Qtr 1,February,11,781947691,76,Deadpool
131800000,AU,"Action, Adventure, Comedy", English,2016,Qtr 2,May,27,341078050,57,The Do-Over
104000000,AU,"Action, Adventure, Comedy", English,2017,Qtr 3,September,21,408803696,70,Kingsman: The Golden Circle
30000000,AU,"Action, Adventure, Comedy", English,2018,Qtr 4,December,19,159369278,63,Johnny English Strikes Again
200000000,AU,"Action, Adventure, Comedy", English,2019,Qtr 3,August,1,760732926,69,Fast & Furious Presents: Hobbs & Shaw
90000000,AU,"Action, Adventure, Comedy", English,2019,Qtr 4,November,14,259736090,65,Charlie's Angels
83600000,AU,"Action, Adventure, Comedy", English,2022,Qtr 1,March,30,188178829,132,The Lost City
52610000,AU,"Action, Adventure, Comedy, Crime, Drama, Thriller", Cantonese,1997,Qtr 2,April,17,21890845,65,Police Story 4: First Strike
25000000,AU,"Action, Adventure, Comedy, Crime, Family, Romance", English,2004,Qtr 1,March,8,58240458,54,Agent Cody Banks
25000000,AU,"Action, Adventure, Comedy, Crime, Thriller", English,1989,Qtr 3,August,10,227853986,70,Lethal Weapon 2
55000000,AU,"Action, Adventure, Comedy, Crime, Thriller", English,1997,Qtr 1,February,6,31987563,57,Metro
140000000,AU,"Action, Adventure, Comedy, Crime, Thriller", English,1998,Qtr 3,September,10,285400000,66,Lethal Weapon 4
90000000,AU,"Action, Adventure, Comedy, Crime, Thriller", English,2000,Qtr 4,November,24,259736090,58,Charlie's Angels
62000000,AU,"Action, Adventure, Comedy, Crime, Thriller", English,2001,Qtr 2,May,24,18708848,58,3000 Miles to Graceland
58000000,AU,"Action, Adventure, Comedy, Crime, Thriller", English,2010,Qtr 4,October,28,199000000,67,RED
145000000,AU,"Action, Adventure, Comedy, Drama, Mystery", English,2005,Qtr 2,April,7,121645390,59,Sahara
750000,AU,"Action, Adventure, Comedy, Drama, War", English,1984,Qtr 4,October,26,1000000,80,The General
75000000,AU,"Action, Adventure, Comedy, Drama, Western", English,1994,Qtr 2,June,9,183031272,68,Maverick
20000000,AU,"Action, Adventure, Comedy, Family", English,1981,Qtr 2,May,7,49823037,54,Popeye
26000000,AU,"Action, Adventure, Comedy, Family", English,2009,Qtr 1,March,19,185904750,54,Paul Blart: Mall Cop
110000000,AU,"Action, Adventure, Comedy, Family, Fantasy", English,2006,Qtr 4,December,26,579446407,66,Night at the Museum
21000000,AU,"Action, Adventure, Comedy, Family, Fantasy, Science Fiction", English,1993,Qtr 2,April,8,42273609,54,Teenage Mutant Ninja Turtles III
55000000,AU,"Action, Adventure, Comedy, Family, Fantasy, Science Fiction", English,2004,Qtr 3,September,18,28231444,49,Thunderbirds
42000000,AU,"Action, Adventure, Comedy, Family, Science Fiction", English,1993,Qtr 2,June,10,20844907,43,Super Mario Bros.
40000000,AU,"Action, Adventure, Comedy, Family, Science Fiction", English,2004,Qtr 1,January,1,167851995,51,Spy Kids 3-D: Game Over
135000000,AU,"Action, Adventure, Comedy, Family, Science Fiction", English,2016,Qtr 3,September,15,245328374,60,Teenage Mutant Ninja Turtles: Out of the Shadows
25000000,AU,"Action, Adventure, Comedy, Fantasy", English,1986,Qtr 3,July,1,11208967,72,Big Trouble in Little China
90000000,AU,"Action, Adventure, Comedy, Science Fiction", English,1997,Qtr 3,September,11,587790539,72,Men in Black
140000000,AU,"Action, Adventure, Comedy, Science Fiction", English,2002,Qtr 3,July,3,445135288,64,Men in Black II
60000,AU,"Action, Adventure, Comedy, Science Fiction", English,2015,Qtr 4,October,30,0,66,Turbo Kid
139000000,AU,"Action, Adventure, Comedy, Science Fiction", English,2021,Qtr 2,April,9,283972948.2,56,Thunder Force
175000000,AU,"Action, Adventure, Comedy, Science Fiction, Western", English,2000,Qtr 2,April,3,221229335,53,Wild Wild West
55000000,AU,"Action, Adventure, Comedy, Thriller", English,1990,Qtr 1,February,22,63408614,64,Tango & Cash
35000000,AU,"Action, Adventure, Comedy, Thriller", English,1995,Qtr 1,January,12,99423000,45,Street Fighter
13000000,AU,"Action, Adventure, Comedy, Thriller", English,1998,Qtr 2,June,25,27073371,59,The Big Hit
50000000,AU,"Action, Adventure, Comedy, Western", English,2003,Qtr 2,April,10,88316835,61,Shanghai Knights
30000000,AU,"Action, Adventure, Crime", English,1994,Qtr 2,June,30,283200000,71,Speed
28000000,AU,"Action, Adventure, Crime", English,2013,Qtr 3,August,8,63129909,64,Kick-Ass 2
85000000,AU,"Action, Adventure, Crime", English,2017,Qtr 1,January,19,345033359,61,xXx: Return of Xander Cage
149000000,AU,"Action, Adventure, Crime"," Spanish, Castilian",2021,Qtr 2,June,4,251276175,65,Xtreme
90000000,AU,"Action, Adventure, Crime, Mystery", English,2009,Qtr 4,December,26,498438212,72,Sherlock Holmes
60000000,AU,"Action, Adventure, Crime, Mystery, Thriller", English,2005,Qtr 2,April,28,71073932,50,xXx: State of the Union
25000000,AU,"Action, Adventure, Crime, Mystery, Thriller", English,2010,Qtr 4,October,24,29863840,63,The Losers
35000000,AU,"Action, Adventure, Crime, Science Fiction, Thriller", English,1990,Qtr 4,November,1,45681173,59,RoboCop 2
50000000,AU,"Action, Adventure, Crime, Thriller", English,1995,Qtr 4,October,26,83306268,65,Assassins
45000000,AU,"Action, Adventure, Crime, Thriller", English,2006,Qtr 3,August,3,65595141,64,16 Blocks
124000000,AU,"Action, Adventure, Crime, Thriller", English,2016,Qtr 1,January,1,210236549,118,Point Break
200000000,AU,"Action, Adventure, Crime, Thriller", English,2021,Qtr 2,June,17,726229501,72,F9
88000000,AU,"Action, Adventure, Drama", English,1996,Qtr 2,May,30,495700000,65,Twister
70000000,AU,"Action, Adventure, Drama", English,2006,Qtr 4,November,30,94973540,71,The Guardian
309000000,AU,"Action, Adventure, Drama", English,2010,Qtr 2,May,12,407669018,128,Robin Hood
27000000,AU,"Action, Adventure, Drama", English,2010,Qtr 3,August,8,16504936,62,"Tomorrow, When the War Began"
9000000,AU,"Action, Adventure, Drama", English,2013,Qtr 3,August,23,6108720,66,All Is Lost
115000000,AU,"Action, Adventure, Drama", English,2016,Qtr 2,April,7,164989338,63,The Huntsman: Winter's War
20000000,AU,"Action, Adventure, Drama", English,2016,Qtr 2,May,23,237662040.8,61,"Crouching Tiger, Hidden Dragon: Sword of Destiny"
34000000,AU,"Action, Adventure, Drama", English,2018,Qtr 3,July,25,38361428,70,The Darkest Minds
107000000,AU,"Action, Adventure, Drama", Tamil,2022,Qtr 3,September,30,166926864.6,73,Ponniyin Selvan: Part I
14000000,AU,"Action, Adventure, Drama, Family", English,1991,Qtr 1,March,28,34729091,67,White Fang
48000000,AU,"Action, Adventure, Drama, Family", English,2010,Qtr 3,July,8,442632561,130,The Karate Kid
124200000,AU,"Action, Adventure, Drama, Fantasy, Animation", Japanese,2014,Qtr 2,May,12,640997166.4,77,Berserk: The Golden Age Arc III - The Advent
47000000,AU,"Action, Adventure, Drama, History", English,1992,Qtr 4,October,29,7191399,62,1492: Conquest of Paradise
40000000,AU,"Action, Adventure, Drama, History, Romance, War", English,1993,Qtr 1,March,4,75505856,74,The Last of the Mohicans
40000000,AU,"Action, Adventure, Drama, History, War", Chinese,2008,Qtr 4,October,13,119627047,72,Red Cliff
80000000,AU,"Action, Adventure, Drama, History, War", Chinese,2009,Qtr 3,July,9,121059225,73,Red Cliff Part II
50000000,AU,"Action, Adventure, Drama, Romance", English,1991,Qtr 2,June,27,390500000,68,Robin Hood: Prince of Thieves
75000000,AU,"Action, Adventure, Drama, Romance", English,1995,Qtr 3,July,13,127361412,61,First Knight
25000000,AU,"Action, Adventure, Drama, Romance", Swedish,2009,Qtr 3,August,25,234882878.8,63,Arn: The Knight Templar
55000000,AU,"Action, Adventure, Drama, Thriller", English,1996,Qtr 2,April,25,122079192,63,Executive Decision
116000000,AU,"Action, Adventure, Drama, Thriller", English,1997,Qtr 1,March,27,178127760,62,Dante's Peak
120000000,AU,"Action, Adventure, Drama, Thriller", English,2000,Qtr 2,June,29,328711434,64,The Perfect Storm
75000000,AU,"Action, Adventure, Drama, Thriller", English,2005,Qtr 3,July,21,34009180,60,Flight of the Phoenix
82000000,AU,"Action, Adventure, Family", Chinese,2014,Qtr 2,April,5,2301495.6,56,The Monkey King
90000000,AU,"Action, Adventure, Family, Comedy", English,2022,Qtr 1,March,31,405421518,76,Sonic the Hedgehog 2
38000000,AU,"Action, Adventure, Family, Comedy, Science Fiction", English,2003,Qtr 1,January,9,119721296,56,Spy Kids 2: The Island of Lost Dreams
49000000,AU,"Action, Adventure, Family, Fantasy", Russian,2020,Qtr 3,July,1,105472142.8,61,Iron Mask
68490000,AU,"Action, Adventure, Fantasy", Chinese,2016,Qtr 1,January,22,193677158,58,The Monkey King 2
35000000,AU,"Action, Adventure, Fantasy", English,1988,Qtr 2,June,1,57269863,70,Willow
60000000,AU,"Action, Adventure, Fantasy", English,2002,Qtr 2,April,18,165890634,56,The Scorpion King
200000000,AU,"Action, Adventure, Fantasy", English,2004,Qtr 2,June,30,794697557,72,Spider-Man 2
55000000,AU,"Action, Adventure, Fantasy", English,2008,Qtr 2,June,11,129075270,66,The Forbidden Kingdom
150000000,AU,"Action, Adventure, Fantasy", English,2010,Qtr 3,September,16,319713881,47,The Last Airbender
220000000,AU,"Action, Adventure, Fantasy", English,2012,Qtr 3,July,3,757890267,67,The Amazing Spider-Man
150000000,AU,"Action, Adventure, Fantasy", English,2013,Qtr 4,October,31,644602516,65,Thor: The Dark World
200000000,AU,"Action, Adventure, Fantasy", English,2014,Qtr 2,April,17,708996336,65,The Amazing Spider-Man 2
250000000,AU,"Action, Adventure, Fantasy", English,2014,Qtr 4,December,26,940323039,73,The Hobbit: The Battle of the Five Armies
153800000,AU,"Action, Adventure, Fantasy", English,2015,Qtr 1,January,9,644347414,52,The Scorpion King 4: Quest for Power
140000000,AU,"Action, Adventure, Fantasy", English,2016,Qtr 1,February,25,138836756,56,Gods of Egypt
263000000,AU,"Action, Adventure, Fantasy", English,2016,Qtr 1,March,24,872395091,59,Batman v Superman: Dawn of Justice
160000000,AU,"Action, Adventure, Fantasy", English,2016,Qtr 2,June,17,438899824,64,Warcraft
175000000,AU,"Action, Adventure, Fantasy", English,2016,Qtr 3,August,4,745744980,59,Suicide Squad
165000000,AU,"Action, Adventure, Fantasy", English,2016,Qtr 4,October,27,676343174,74,Doctor Strange
150000000,AU,"Action, Adventure, Fantasy", English,2017,Qtr 1,February,16,334486852,60,The Great Wall
185000000,AU,"Action, Adventure, Fantasy", English,2017,Qtr 1,March,10,561072059,65,Kong: Skull Island
150000000,AU,"Action, Adventure, Fantasy", English,2017,Qtr 2,June,1,817691766,72,Wonder Woman
90000000,AU,"Action, Adventure, Fantasy", English,2018,Qtr 1,March,5,273477501,64,Tomb Raider
160000000,AU,"Action, Adventure, Fantasy", English,2018,Qtr 4,December,26,1143758700,69,Aquaman
150000000,AU,"Action, Adventure, Fantasy", English,2019,Qtr 2,June,16,449762638,70,Pokémon Detective Pikachu
200000000,AU,"Action, Adventure, Fantasy", English,2020,Qtr 4,December,26,166360232,65,Wonder Woman 1984
200000000,AU,"Action, Adventure, Fantasy", English,2021,Qtr 3,July,29,210469803,75,Jungle Cruise
150000000,AU,"Action, Adventure, Fantasy", English,2021,Qtr 3,September,2,432224634,76,Shang-Chi and the Legend of the Ten Rings
70000000,AU,"Action, Adventure, Fantasy", English,2022,Qtr 2,April,21,69633110,71,The Northman
22000000,AU,"Action, Adventure, Fantasy", Hindi,2022,Qtr 3,September,9,331524155,67,Brahmāstra Part One: Shiva
5000000,AU,"Action, Adventure, Fantasy, Drama", English,2012,Qtr 1,January,17,2239756.4,45,The Scorpion King 3: Battle for Redemption
18300000,AU,"Action, Adventure, Fantasy, Drama", Korean,2017,Qtr 4,December,14,125983972,81,Along with the Gods: The Two Worlds
59000000,AU,"Action, Adventure, Fantasy, Family", English,2019,Qtr 1,January,17,28296983,61,The Kid Who Would Be King
40000000,AU,"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller", English,1997,Qtr 3,August,20,87949859,54,Spawn
140000000,AU,"Action, Adventure, Fantasy, Romance", English,1981,Qtr 3,August,21,537614888,138,Clash of the Titans
87500000,AU,"Action, Adventure, Fantasy, Science Fiction", English,2005,Qtr 3,July,7,333132750,58,Fantastic Four
116500000,AU,"Action, Adventure, Fantasy, Science Fiction", English,2008,Qtr 3,July,19,577617472.8,46,The Scorpion King 2: Rise of a Warrior
237000000,AU,"Action, Adventure, Fantasy, Science Fiction", English,2009,Qtr 4,December,17,2923706026,76,Avatar
70000000,AU,"Action, Adventure, Fantasy, Science Fiction", English,2021,Qtr 1,March,18,136635234.2,82,Zack Snyder's Justice League
180000000,AU,"Action, Adventure, Fantasy, Science Fiction, Comedy", English,2017,Qtr 4,October,26,850482778,76,Thor: Ragnarok
30000000,AU,"Action, Adventure, Fantasy, Science Fiction, Thriller", English,2009,Qtr 1,February,27,56511457,29,Dragonball Evolution
95000000,AU,"Action, Adventure, Fantasy, Thriller", English,2003,Qtr 4,December,19,160099222,57,Lara Croft: Tomb Raider - The Cradle of Life
67000000,AU,"Action, Adventure, Fantasy, War", English,2008,Qtr 1,February,13,25357771,56,The Last Legion
80000000,AU,"Action, Adventure, History, Romance, Drama", English,2014,Qtr 1,February,19,108469033,55,Pompeii
36494000,AU,"Action, Adventure, Horror", English,2018,Qtr 1,February,23,7910928,55,7 Guardians of the Tomb
30000000,AU,"Action, Adventure, Horror, Science Fiction, Thriller", English,2009,Qtr 2,May,29,5874530,57,Blood: The Last Vampire
30000000,AU,"Action, Adventure, Horror, Thriller", English,2005,Qtr 4,November,24,27147991,53,The Cave
60000000,AU,"Action, Adventure, Mystery, Science Fiction, Thriller", English,2004,Qtr 1,March,18,98819789,62,Paycheck
130000000,AU,"Action, Adventure, Mystery, Thriller", English,2008,Qtr 1,February,8,459242249,63,National Treasure: Book of Secrets
50000000,AU,"Action, Adventure, Romance, Science Fiction, Thriller", English,2013,Qtr 1,March,28,64477051,63,The Host
10000000,AU,"Action, Adventure, Science Fiction", English,1985,Qtr 3,August,6,36230219,62,Mad Max Beyond Thunderdome
17000000,AU,"Action, Adventure, Science Fiction", English,1987,Qtr 4,December,26,36700000,45,Superman IV: The Quest for Peace
190000000,AU,"Action, Adventure, Science Fiction", English,1990,Qtr 4,December,6,473255918,146,Total Recall
55000000,AU,"Action, Adventure, Science Fiction", English,1995,Qtr 1,February,16,196565669,70,Stargate
50000000,AU,"Action, Adventure, Science Fiction", English,1995,Qtr 3,July,6,152022333,55,Congo
75000000,AU,"Action, Adventure, Science Fiction", English,1996,Qtr 3,August,29,817400878,69,Independence Day
80000000,AU,"Action, Adventure, Science Fiction", English,2004,Qtr 1,February,5,26703184,57,Timeline
82500000,AU,"Action, Adventure, Science Fiction", English,2008,Qtr 1,February,14,222640812,61,Jumper
200000000,AU,"Action, Adventure, Science Fiction", English,2009,Qtr 4,October,23,757677748,58,2012
140000000,AU,"Action, Adventure, Science Fiction", English,2011,Qtr 3,July,28,370569776,70,Captain America: The First Avenger
263700000,AU,"Action, Adventure, Science Fiction", English,2012,Qtr 1,March,8,282778100,63,John Carter
200000000,AU,"Action, Adventure, Science Fiction", English,2013,Qtr 2,April,24,1215392272,69,Iron Man 3
190000000,AU,"Action, Adventure, Science Fiction", English,2013,Qtr 2,May,9,467381584,73,Star Trek Into Darkness
225000000,AU,"Action, Adventure, Science Fiction", English,2013,Qtr 2,June,26,667999518,66,Man of Steel
170000000,AU,"Action, Adventure, Science Fiction", English,2014,Qtr 2,April,3,714401889,77,Captain America: The Winter Soldier
85000000,AU,"Action, Adventure, Science Fiction", English,2014,Qtr 2,April,10,276014965,69,Divergent
200000000,AU,"Action, Adventure, Science Fiction", English,2014,Qtr 2,May,22,747862775,75,X-Men: Days of Future Past
365000000,AU,"Action, Adventure, Science Fiction", English,2015,Qtr 2,April,23,1395316979,73,Avengers: Age of Ultron
150000000,AU,"Action, Adventure, Science Fiction", English,2015,Qtr 2,May,14,365769378,76,Mad Max: Fury Road
87500000,AU,"Action, Adventure, Science Fiction", English,2015,Qtr 3,August,6,333132750,44,Fantastic Four
160000000,AU,"Action, Adventure, Science Fiction", English,2015,Qtr 4,November,19,647396133,69,The Hunger Games: Mockingjay - Part 2
2000000,AU,"Action, Adventure, Science Fiction", English,2016,Qtr 2,May,27,17187434,64,Hardcore Henry
165000000,AU,"Action, Adventure, Science Fiction", English,2016,Qtr 2,June,23,384169424,53,Independence Day: Resurgence
185000000,AU,"Action, Adventure, Science Fiction", English,2016,Qtr 3,July,21,335673708,68,Star Trek Beyond
200000000,AU,"Action, Adventure, Science Fiction", English,2016,Qtr 4,December,16,1055083596,75,Rogue One: A Star Wars Story
125000000,AU,"Action, Adventure, Science Fiction", English,2017,Qtr 1,January,1,240697856,54,Assassin's Creed
120000000,AU,"Action, Adventure, Science Fiction", English,2017,Qtr 1,March,23,142531552,63,Power Rangers
217000000,AU,"Action, Adventure, Science Fiction", English,2017,Qtr 2,June,16,602893340,61,Transformers: The Last Knight
300000000,AU,"Action, Adventure, Science Fiction", English,2017,Qtr 4,November,16,655945209,61,Justice League
200000000,AU,"Action, Adventure, Science Fiction", English,2018,Qtr 1,February,15,1336494320,74,Black Panther
120000000,AU,"Action, Adventure, Science Fiction", English,2018,Qtr 2,April,20,427947217,64,Rampage
130000000,AU,"Action, Adventure, Science Fiction", English,2018,Qtr 3,July,5,623144660,70,Ant-Man and the Wasp
